Dataset,Model,Metric,Value,FileName
original,knn,,83.48 ± 3.87,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
original,itml,,88.09 ± 2.19,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
original,lmnn,,89.37 ± 2.38,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
original,fantope,,90.16 ± 2.69,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
original,cap,,90.16 ± 2.69,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
original,rml,,85.05 ± 5.15,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
original,proposed,,91.34 ± 1.52,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
sparse,knn,,68.47 ± 10.22,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
sparse,itml,,72.54 ± 2.24,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
sparse,lmnn,,74.08 ± 1.68,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
sparse,fantope,,77.51 ± 3.80,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
sparse,cap,,75.59 ± 4.93,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
sparse,rml,,71.66 ± 3.28,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
sparse,proposed,,81.49 ± 3.28,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
regular,knn,,54.75 ± 4.52,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
regular,itml,,57.09 ± 1.54,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
regular,lmnn,,61.83 ± 4.49,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
regular,fantope,,64.91 ± 1.99,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
regular,cap,,63.01 ± 4.56,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
regular,rml,,55.13 ± 3.68,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
